Ville,|V|,|E|,Temps_classique (s),Temps_efficient (s),Gain (%),Speed-up (×),Overlap (%)
Paris,9434,18158,137.787,59.084,57.12,2.33,60.0
Lyon,4138,8161,21.542,19.743,8.35,1.09,40.0
Marseille,12804,26531,291.175,83.405,71.36,3.49,20.0
Toulouse,9274,19536,137.567,52.748,61.66,2.61,0.0
Bordeaux,4437,8970,21.823,21.1,3.31,1.03,40.0
Nice,4023,8227,28.365,14.337,49.46,1.98,20.0
Nantes,6614,14193,61.766,41.829,32.28,1.48,40.0
Dijon,3187,7218,12.376,13.914,-12.43,0.89,0.0
Reims,3638,8085,16.398,14.05,14.32,1.17,20.0
Annecy,4461,9148,44.975,42.973,4.45,1.05,20.0
