Ville,|V|,|E|,Temps_classique (s),Temps_efficient (s),Gain (%),Speed-up (×),Overlap (%)
Paris,9443,14779,264.575,53.545,79.76,4.94,20.0
Lyon,4159,6471,48.334,18.376,61.98,2.63,60.0
Marseille,12805,17514,511.624,92.553,81.91,5.53,60.0
Toulouse,9274,13343,265.784,46.615,82.46,5.7,60.0
Bordeaux,4434,6705,49.707,19.55,60.67,2.54,40.0
Nice,4020,5508,39.815,12.259,69.21,3.25,40.0
Nantes,6639,9058,112.032,37.613,66.43,2.98,40.0
Dijon,3188,4702,22.185,11.906,46.33,1.86,40.0
Reims,3633,5301,30.454,12.745,58.15,2.39,60.0
Annecy,4461,6049,47.012,22.109,52.97,2.13,20.0
