Ville,|V|,|E|,Temps_classique (s),Temps_efficient (s),Gain (%),Speed-up (×),Overlap (%)
Paris,9213,17862,119.451,124.444,-4.18,0.96,40.0
Lyon,4019,7994,19.91,25.404,-27.59,0.78,40.0
Marseille,12700,26366,255.916,166.642,34.88,1.54,20.0
Toulouse,9101,19285,124.722,96.901,22.31,1.29,0.0
Bordeaux,4327,8796,22.709,28.371,-24.93,0.8,40.0
Nice,3972,8152,19.197,19.287,-0.47,1.0,0.0
Nantes,6496,13993,55.055,57.15,-3.8,0.96,40.0
Dijon,3124,7120,11.664,15.515,-33.01,0.75,20.0
Reims,3583,8000,15.362,18.621,-21.21,0.82,20.0
Annecy,4100,8420,19.866,26.092,-31.34,0.76,40.0
